Date,Predicted NAV
2026-06-18 07:17:16.103081,4434.704808688285
2026-06-19 07:17:16.103081,4434.746803481259
2026-06-20 07:17:16.103081,4434.788798274234
2026-06-21 07:17:16.103081,4434.830793067208
2026-06-22 07:17:16.103081,4434.872787860183
2026-06-23 07:17:16.103081,4434.914782653157
2026-06-24 07:17:16.103081,4434.956777446132
2026-06-25 07:17:16.103081,4434.998772239106
2026-06-26 07:17:16.103081,4435.040767032081
2026-06-27 07:17:16.103081,4435.082761825055
2026-06-28 07:17:16.103081,4435.12475661803
2026-06-29 07:17:16.103081,4435.166751411004
2026-06-30 07:17:16.103081,4435.208746203979
2026-07-01 07:17:16.103081,4435.250740996953
2026-07-02 07:17:16.103081,4435.292735789928
2026-07-03 07:17:16.103081,4435.334730582902
2026-07-04 07:17:16.103081,4435.376725375877
2026-07-05 07:17:16.103081,4435.418720168851
2026-07-06 07:17:16.103081,4435.460714961826
2026-07-07 07:17:16.103081,4435.5027097548
2026-07-08 07:17:16.103081,4435.544704547775
2026-07-09 07:17:16.103081,4435.586699340749
2026-07-10 07:17:16.103081,4435.628694133724
2026-07-11 07:17:16.103081,4435.670688926698
2026-07-12 07:17:16.103081,4435.712683719673
2026-07-13 07:17:16.103081,4435.754678512647
2026-07-14 07:17:16.103081,4435.796673305622
2026-07-15 07:17:16.103081,4435.838668098596
2026-07-16 07:17:16.103081,4435.880662891571
2026-07-17 07:17:16.103081,4435.922657684546
